"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2024","617.50","614.00","620.90","611.10","356.73K","0.55%"
"09/24/2024","614.10","616.90","623.30","609.90","615.14K","3.19%"
"09/23/2024","595.10","590.00","595.10","582.10","488.04K","0.54%"
"09/20/2024","591.90","606.00","606.90","591.90","1.10M","-3.60%"
"09/19/2024","614.00","611.00","618.40","607.30","488.72K","3.04%"
"09/18/2024","595.90","608.90","609.50","595.90","674.04K","-1.94%"
"09/17/2024","607.70","608.20","611.90","603.50","519.69K","0.68%"
"09/16/2024","603.60","608.30","613.50","603.20","","-0.74%"
"09/13/2024","608.10","606.00","614.90","606.00","545.50K","0.21%"
"09/12/2024","606.80","616.70","617.50","603.00","438.72K","-0.03%"
"09/11/2024","607.00","612.40","619.30","602.40","453.88K","-0.88%"
"09/10/2024","612.40","614.00","620.80","610.60","324.13K","-0.62%"
"09/09/2024","616.20","612.00","620.20","608.50","402.86K","0.69%"
"09/06/2024","612.00","619.00","622.20","612.00","546.37K","-1.16%"
"09/05/2024","619.20","640.80","640.90","617.40","745.29K","-3.64%"
"09/04/2024","642.60","652.60","659.80","641.30","577.52K","-4.22%"
"09/03/2024","670.90","677.50","681.50","670.00","250.24K","-0.34%"
"09/02/2024","673.20","670.90","673.40","662.20","212.58K","-0.16%"
"08/30/2024","674.30","678.70","688.00","674.30","410.04K","-0.46%"
"08/29/2024","677.40","667.80","677.60","667.00","267.21K","1.68%"
"08/28/2024","666.20","672.80","674.10","665.80","282.35K","-0.54%"
"08/27/2024","669.80","683.90","686.40","668.30","293.65K","-1.79%"
"08/26/2024","682.00","681.50","686.00","680.90","144.38K","0.13%"
"08/23/2024","681.10","678.00","681.40","673.40","263.10K","0.46%"
"08/22/2024","678.00","680.90","685.60","678.00","201.64K","-0.12%"
"08/21/2024","678.80","675.00","681.50","675.00","233.34K","0.15%"
"08/20/2024","677.80","675.90","680.00","674.90","282.43K","0.49%"
"08/19/2024","674.50","660.90","676.30","660.10","372.04K","2.49%"
"08/16/2024","658.10","658.80","662.00","654.40","293.39K","0.32%"
"08/15/2024","656.00","644.30","659.40","641.10","317.10K","1.83%"
"08/14/2024","644.20","641.60","646.10","638.30","385.13K","1.58%"
"08/13/2024","634.20","639.00","640.50","625.60","247.80K","-0.14%"
"08/12/2024","635.10","640.00","641.50","634.20","260.89K","-0.14%"
"08/09/2024","636.00","635.20","642.30","632.40","256.48K","0.43%"
"08/08/2024","633.30","627.50","634.00","621.30","282.65K","0.30%"
"08/07/2024","631.40","627.40","635.00","621.10","365.58K","1.53%"
"08/06/2024","621.90","624.00","625.70","615.20","421.21K","-0.38%"
"08/05/2024","624.30","621.00","626.50","611.50","724.54K","-0.98%"
"08/02/2024","630.50","637.50","640.70","627.30","523.37K","-1.79%"
"08/01/2024","642.00","647.70","649.00","639.50","501.01K","-1.68%"
"07/31/2024","653.00","661.00","661.40","650.10","521.96K","0.09%"
"07/30/2024","652.40","656.60","661.90","650.80","373.85K","-0.35%"
"07/29/2024","654.70","665.60","666.40","650.80","285.42K","-1.27%"
"07/26/2024","663.10","650.60","666.30","650.20","354.34K","1.61%"
"07/25/2024","652.60","657.00","658.60","648.90","454.73K","-1.03%"
"07/24/2024","659.40","661.20","672.70","646.50","884.64K","-4.66%"
"07/23/2024","691.60","691.40","702.40","686.70","278.78K","-0.07%"
"07/22/2024","692.10","685.30","696.00","684.80","300.83K","1.81%"
"07/19/2024","679.80","690.00","693.70","678.00","531.46K","-1.52%"
"07/18/2024","690.30","698.60","699.70","690.30","297.45K","0.01%"
"07/17/2024","690.20","693.40","697.10","685.00","411.56K","-0.27%"
"07/16/2024","692.10","702.10","703.70","692.00","301.04K","-1.91%"
"07/15/2024","705.60","718.70","721.10","700.80","268.86K","-2.65%"
"07/12/2024","724.80","714.20","728.90","713.80","319.57K","2.08%"
"07/11/2024","710.00","705.30","712.50","702.00","304.96K","1.78%"
"07/10/2024","697.60","688.50","700.10","685.40","328.75K","1.56%"
"07/09/2024","686.90","697.00","698.30","685.60","472.42K","-1.26%"
"07/08/2024","695.70","711.00","719.30","695.70","475.10K","-2.89%"
"07/05/2024","716.40","723.90","726.00","712.60","172.45K","-0.47%"
"07/04/2024","719.80","719.80","722.30","717.40","177.63K","0.70%"
"07/03/2024","714.80","714.00","725.60","712.40","323.58K","0.73%"
"07/02/2024","709.60","711.90","714.70","703.10","270.19K","-0.34%"
"07/01/2024","712.00","730.20","732.40","711.40","302.62K","-0.22%"
"06/28/2024","713.60","714.40","717.80","709.40","397.92K","-0.27%"
"06/27/2024","715.50","726.60","735.60","714.60","288.91K","-1.58%"
"06/26/2024","727.00","738.60","741.80","720.30","314.90K","-1.33%"
"06/25/2024","736.80","722.10","737.80","721.10","315.70K","1.42%"
"06/24/2024","726.50","718.00","730.20","716.70","262.91K","1.28%"
"06/21/2024","717.30","712.70","719.50","710.40","902.57K","0.52%"
"06/20/2024","713.60","707.70","715.80","706.20","375.05K","0.93%"
"06/19/2024","707.00","707.00","711.40","703.30","302.31K","-0.44%"
"06/18/2024","710.10","723.70","726.70","707.90","322.71K","-1.02%"
"06/17/2024","717.40","713.80","717.40","701.00","349.46K","0.84%"
"06/14/2024","711.40","726.00","729.70","707.60","617.57K","-2.75%"
"06/13/2024","731.50","735.90","740.40","728.00","317.04K","-0.53%"
"06/12/2024","735.40","737.40","743.80","732.20","356.42K","-0.16%"
"06/11/2024","736.60","749.80","751.10","731.20","436.15K","-1.30%"
"06/10/2024","746.30","750.60","753.10","738.10","349.55K","-2.12%"
"06/07/2024","762.50","766.20","767.60","753.30","334.40K","-0.03%"
"06/06/2024","762.70","758.10","767.40","756.50","348.72K","1.34%"
"06/05/2024","752.60","741.70","755.00","735.30","282.63K","2.39%"
"06/04/2024","735.00","740.00","744.50","735.00","239.06K","-0.41%"
"06/03/2024","738.00","742.50","745.00","734.90","220.91K","0.42%"
"05/31/2024","734.90","734.20","738.80","731.70","556.19K","0.07%"
